T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
22.7,30.0,16.5,-,65.0,6.9,1.1,3.5,194.70833333333331
nan,nan,nan,nan,nan,nan,nan,nan,250.875
nan,nan,nan,nan,nan,nan,nan,nan,274.875
nan,nan,nan,nan,nan,nan,nan,nan,207.91666666666663
22.5,28.5,19.8,-,80.0,6.3,2.0,5.4,134.45833333333334
23.1,29.2,19.2,-,74.0,6.9,1.1,5.4,110.0
22.7,29.2,18.8,-,67.0,6.9,0.4,3.5,160.0
nan,nan,nan,nan,nan,nan,nan,nan,217.91666666666663
nan,nan,nan,nan,nan,nan,nan,nan,184.20833333333331
nan,nan,nan,nan,nan,nan,nan,nan,130.91666666666666
23.1,29.9,20.0,-,76.0,6.9,3.1,5.4,118.91666666666669
22.5,28.3,19.4,-,74.0,7.7,2.4,5.4,176.375
21.9,28.0,18.4,-,67.0,6.9,3.1,5.4,185.95833333333331
nan,nan,nan,nan,nan,nan,nan,nan,195.375
nan,nan,nan,nan,nan,nan,nan,nan,151.04166666666666
nan,nan,nan,nan,nan,nan,nan,nan,170.875
20.2,28.4,15.7,-,67.0,6.3,1.9,3.5,239.125
21.3,28.0,16.8,-,68.0,6.9,0.9,3.5,365.29166666666674
21.2,28.7,15.9,-,54.0,6.9,0.7,5.4,312.2083333333333
nan,nan,nan,nan,nan,nan,nan,nan,237.625
nan,nan,nan,nan,nan,nan,nan,nan,179.33333333333337
nan,nan,nan,nan,nan,nan,nan,nan,122.54166666666669
22.3,27.0,18.6,-,71.0,6.3,3.5,5.4,121.33333333333331
22.6,27.7,19.5,-,75.0,6.3,3.5,5.4,202.875
22.3,30.3,16.0,-,56.0,6.0,1.3,3.5,260.1666666666667
nan,nan,nan,nan,nan,nan,nan,nan,403.95833333333326
nan,nan,nan,nan,nan,nan,nan,nan,455.58333333333326
nan,nan,nan,nan,nan,nan,nan,nan,382.70833333333326
20.2,27.2,14.7,-,66.0,6.9,0.9,3.5,277.7083333333333
20.4,28.9,14.5,-,65.0,6.8,1.3,3.5,284.1666666666667
